GAME_DATE_EST,SEASON,Home Team,City_home,Geographic conference_home,Visitor Team,City_Visitor,Geographic conference_Visitor,HOME_TEAM_WINS,Percent of Team's Points_home,Field Goal Percentage_home,Free Throw Percentage_home,3 Point Field Goal Percentage_home,Percent of Team's Assists_home,Rebounds_home,Percent of Team's Points_Visitor,Field Goal Percentage_Visitor,Free Throw Percentage_Visitor, 3 Point Field Goal Percentage_Visitor,Percent of Team's Assists_Visitor,Rebounds_Visitor
12/22/2022,2022,Pelicans,New Orleans,Western,Spurs,San Antonio,Western,1,126,48,93,38,25,46,117,48,82,32,23,44
12/22/2022,2022,Jazz,Utah,Western,Wizards,Washington,Eastern,1,120,49,95,46,16,40,112,56,77,33,20,37
12/21/2022,2022,Cavaliers,Cleveland,Eastern,Bucks,Milwaukee,Western,1,114,48,79,31,22,37,106,47,68,43,20,46
12/21/2022,2022,76ers,Philadelphia,Eastern,Pistons,Detroit,Eastern,1,113,44,91,30,27,49,93,39,74,26,15,46
12/21/2022,2022,Hawks,Atlanta,Eastern,Bulls,Chicago,Eastern,0,108,43,100,38,22,47,110,50,77,29,20,47
12/21/2022,2022,Celtics,Boston,Eastern,Pacers,Indiana,Eastern,0,112,39,84,32,26,62,117,47,78,46,27,47
12/21/2022,2022,Nets,Brooklyn,Eastern,Warriors,Golden State,Western,1,143,64,88,64,42,32,113,49,76,36,32,36
12/21/2022,2022,Knicks,New York,Eastern,Raptors,Toronto,Eastern,0,106,55,61,42,25,38,113,45,91,27,17,38
12/21/2022,2022,Rockets,Houston,Western,Magic,Orlando,Eastern,0,110,47,65,40,22,49,116,45,70,30,19,45
12/21/2022,2022,Timberwolves,Minnesota,Western,Mavericks,Dallas,Western,0,99,49,70,27,23,39,104,45,85,33,17,39
12/21/2022,2022,Thunder,Oklahoma City,Western,Trail Blazers,Portland,Western,1,101,47,84,33,19,37,98,49,67,39,29,36
12/21/2022,2022,Kings,Sacramento,Western,Lakers,Los Angeles,Western,1,134,51,75,36,29,46,120,50,83,46,25,39
12/21/2022,2022,Clippers,Los Angeles,Western,Hornets,Charlotte,Eastern,1,126,51,91,47,29,48,105,40,76,29,25,40
12/20/2022,2022,Pistons,Detroit,Eastern,Jazz,Utah,Western,0,111,51,74,36,22,43,126,51,63,44,27,43
12/20/2022,2022,Heat,Miami,Eastern,Bulls,Chicago,Eastern,0,103,47,71,34,26,35,113,55,83,42,24,39
12/20/2022,2022,Knicks,New York,Eastern,Warriors,Golden State,Western,1,132,52,78,43,27,47,94,47,92,34,23,29
12/20/2022,2022,Suns,Phoenix,Western,Wizards,Washington,Eastern,0,110,46,79,41,26,44,113,48,70,41,22,41
12/20/2022,2022,Nuggets,Denver,Western,Grizzlies,Memphis,Western,1,105,45,60,37,28,48,91,44,67,19,25,42
12/19/2022,2022,Cavaliers,Cleveland,Eastern,Jazz,Utah,Western,1,122,61,81,58,24,45,99,39,74,29,19,35
12/19/2022,2022,76ers,Philadelphia,Eastern,Raptors,Toronto,Eastern,1,104,40,93,36,22,41,101,42,80,28,24,50
12/19/2022,2022,Hawks,Atlanta,Eastern,Magic,Orlando,Eastern,1,126,51,90,38,29,41,125,47,92,35,29,45
12/19/2022,2022,Rockets,Houston,Western,Spurs,San Antonio,Western,0,105,43,65,21,23,41,124,55,79,50,30,46
12/19/2022,2022,Timberwolves,Minnesota,Western,Mavericks,Dallas,Western,1,116,47,83,39,19,44,106,41,81,42,23,42
12/19/2022,2022,Pelicans,New Orleans,Western,Bucks,Milwaukee,Western,0,119,42,71,40,30,44,128,56,81,33,26,44
12/19/2022,2022,Thunder,Oklahoma City,Western,Trail Blazers,Portland,Western,1,123,46,87,36,20,39,121,50,81,43,26,45
12/19/2022,2022,Suns,Phoenix,Western,Lakers,Los Angeles,Western,1,130,50,75,51,21,51,104,45,82,43,13,38
12/19/2022,2022,Kings,Sacramento,Western,Hornets,Charlotte,Eastern,0,119,47,55,36,23,42,125,52,74,32,26,56
12/18/2022,2022,Celtics,Boston,Eastern,Magic,Orlando,Eastern,0,92,35,86,26,22,54,95,38,90,41,20,46
12/18/2022,2022,Pacers,Indiana,Eastern,Knicks,New York,Eastern,0,106,43,65,34,20,44,109,47,77,31,13,49
12/18/2022,2022,Pistons,Detroit,Eastern,Nets,Brooklyn,Eastern,0,121,48,85,27,20,41,124,55,91,52,26,35
12/18/2022,2022,Raptors,Toronto,Eastern,Warriors,Golden State,Western,0,110,42,77,39,21,43,126,53,85,46,31,41
12/18/2022,2022,Timberwolves,Minnesota,Western,Bulls,Chicago,Eastern,1,150,66,81,54,38,39,126,52,75,42,31,30
12/18/2022,2022,Nuggets,Denver,Western,Hornets,Charlotte,Eastern,1,119,46,65,33,33,55,115,43,91,32,26,48
12/18/2022,2022,Lakers,Los Angeles,Western,Wizards,Washington,Eastern,1,119,50,73,41,29,43,117,46,79,26,24,48
12/17/2022,2022,Clippers,Los Angeles,Western,Wizards,Washington,Eastern,1,102,43,62,41,19,49,93,43,92,36,20,42
12/17/2022,2022,Spurs,San Antonio,Western,Heat,Miami,Eastern,0,101,43,76,37,29,38,111,51,70,37,25,40
12/17/2022,2022,Cavaliers,Cleveland,Eastern,Mavericks,Dallas,Western,1,100,43,59,19,23,51,99,41,63,31,19,45
12/17/2022,2022,Rockets,Houston,Western,Trail Blazers,Portland,Western,0,95,40,69,10,19,51,107,47,74,36,20,36
12/17/2022,2022,Bucks,Milwaukee,Western,Jazz,Utah,Western,1,123,53,82,47,30,54,97,45,50,34,24,29
12/17/2022,2022,Thunder,Oklahoma City,Western,Grizzlies,Memphis,Western,1,115,41,65,42,29,53,109,38,78,27,15,53
12/17/2022,2022,Suns,Phoenix,Western,Pelicans,New Orleans,Western,1,118,47,71,37,23,35,114,58,77,47,27,36
12/16/2022,2022,Hornets,Charlotte,Eastern,Hawks,Atlanta,Eastern,0,106,40,68,35,26,43,125,55,82,52,25,41
12/16/2022,2022,Pistons,Detroit,Eastern,Kings,Sacramento,Western,0,113,46,81,35,22,46,122,52,83,39,30,33
12/16/2022,2022,Celtics,Boston,Eastern,Magic,Orlando,Eastern,0,109,42,82,24,17,38,117,46,86,27,19,53
12/16/2022,2022,Cavaliers,Cleveland,Eastern,Pacers,Indiana,Eastern,1,118,50,88,45,23,34,112,53,90,31,34,33
12/16/2022,2022,76ers,Philadelphia,Eastern,Warriors,Golden State,Western,1,118,46,81,40,23,49,106,42,85,40,31,48
12/16/2022,2022,Raptors,Toronto,Eastern,Nets,Brooklyn,Eastern,0,116,49,86,38,17,32,119,61,78,35,22,37
12/16/2022,2022,Bulls,Chicago,Eastern,Knicks,New York,Eastern,0,91,47,88,40,26,39,114,40,72,39,19,50
12/16/2022,2022,Thunder,Oklahoma City,Western,Timberwolves,Minnesota,Western,0,110,47,81,30,29,45,112,49,56,48,23,43
12/16/2022,2022,Mavericks,Dallas,Western,Trail Blazers,Portland,Western,1,130,56,85,42,25,40,110,44,76,35,21,42
12/16/2022,2022,Lakers,Los Angeles,Western,Nuggets,Denver,Western,1,126,53,75,36,29,45,108,48,75,33,25,39
12/15/2022,2022,Rockets,Houston,Western,Heat,Miami,Eastern,0,108,47,65,27,22,51,111,44,74,34,21,40
12/15/2022,2022,Grizzlies,Memphis,Western,Bucks,Milwaukee,Western,1,142,55,78,38,30,56,101,37,67,26,22,39
12/15/2022,2022,Jazz,Utah,Western,Pelicans,New Orleans,Western,1,132,46,81,38,24,44,129,48,82,40,24,49
12/15/2022,2022,Clippers,Los Angeles,Western,Suns,Phoenix,Western,0,95,38,71,36,21,52,111,46,78,28,27,53
12/14/2022,2022,Hornets,Charlotte,Eastern,Pistons,Detroit,Eastern,0,134,41,79,33,21,52,141,52,75,45,25,52
12/14/2022,2022,Pacers,Indiana,Eastern,Warriors,Golden State,Western,1,125,51,84,41,30,34,119,47,86,42,27,46
12/14/2022,2022,Magic,Orlando,Eastern,Hawks,Atlanta,Eastern,1,135,51,83,44,28,46,124,50,89,34,30,39
12/14/2022,2022,Raptors,Toronto,Eastern,Kings,Sacramento,Western,0,123,50,85,29,25,39,124,48,85,37,29,50
12/14/2022,2022,Bulls,Chicago,Eastern,Knicks,New York,Eastern,0,120,55,86,32,25,31,128,50,80,53,25,48
12/14/2022,2022,Thunder,Oklahoma City,Western,Heat,Miami,Eastern,0,108,50,74,38,26,44,110,43,80,43,25,39
